Company,Rating,Review
AXA,3.9,5
Sony,4.1,2
Sanofi,3.9,7
iQor,3.4,2
Bajaj Finance,3.8,1
Ipsos,3.7,3
Xceedance,3.7,491
Encore Capital Group,3.7,604
Freescale Semiconductor,4.0,1
VVDN Technologies ,3.6,646
Amity University,3.6,708
MongoDB,4.7,1
Optum Global Solutions,4.0,975
Absolutdata,3.3,458
DuPont,3.9,3
Baxter,3.9,3
Indiabulls,3.2,905
Ola,3.3,1
WebKul,4.2,283
American Express Global Business Travel,3.9,1
GE Power,3.7,1
L'Oréal,3.9,9
Moody's Corporation,3.7,1
TELUS International,3.8,1
Amadeus,3.9,3
Kelly,3.5,6
British Council,3.8,1
Manpower,4.0,7
Crowe,3.9,2
IKEA,3.9,10
Persistent Systems,4.1,4
IIT Delhi,4.5,580
BNY Mellon,3.6,9
CNH Industrial,3.8,2
Gemalto,3.7,1
YES,4.2,778
Walt Disney Company,4.0,11
Hitachi,3.8,1
OLX Group,3.9,692
Bharat Electronics,3.8,1
BMW Group,4.1,4
Anheuser-Busch InBev,3.8,3
eTeam,4.4,1
Gemini Solutions,4.1,420
Aptara,3.4,643
Atkins,3.9,2
NIKE,4.2,12
Boeing,3.8,13
Lowe's Home Improvement,4.1,34
Guardian Life,3.7,1
ExxonMobil,3.4,8
Hyundai Motor,3.7,2
XL Dynamics,3.2,1
Hilton,4.1,8
Magneti Marelli,3.7,1
Informatica,4.3,2
Aditya Birla Group,4.0,1
KFC,3.5,9
National Thermal Power,4.2,847
Burger King,3.4,13
DBS Bank,3.9,5
Yatra Online Pvt Ltd,3.4,482
Macy's,3.4,26
FedEx,3.7,9
Cummins,4.1,6
MAERSK,4.2,4
BNP Paribas,3.8,11
Tokopedia,4.5,1
Zensar Technologies,3.9,3
Eli Lilly and Company,4.0,3
GfK,3.5,1
Synechron,4.3,3
Ricoh,3.2,4
UPS,3.5,28
Deutsche Telekom,4.1,1
Home Credit India,3.6,626
Risk Management Solutions,4.0,649
3M,3.9,5
Mott MacDonald,4.0,1
Private,4.1,1
RateGain,4.0,403
Godrej & Boyce Manufacturing,3.7,1
Unacademy,4.0,1
Mars,4.2,4
Zoho,4.5,3
Arvato,3.2,1
Uneecops Technologies,4.2,232
Kellton Tech,3.7,530
Saint-Gobain,4.0,3
JK Tech,3.8,481
Mondelēz International,4.0,5
Ramboll,3.9,846
Pizza Hut,3.4,11
IDC Technologies,3.7,941
Teach For India,4.0,668
Fresherworld.com,4.0,590
Fedex Express,3.7,5
Arm,4.2,1
Syneos Health ,3.8,2
Hughes Systique,4.0,418
Advisory Board,4.0,1
HDB Financial Services,3.6,1
Sodexo,3.5,9
Confidential,3.9,1
HDFC Standard Life Insurance,3.8,1
Visa Inc.,4.1,5
DHL Supply Chain,3.7,7
3i Infotech,3.5,1
Apisero,4.3,490
MagicBricks,3.8,590
Morningstar,4.2,2
Keywords Studios,3.5,1
ICF,3.6,1
Intuit,4.6,8
NLB Services,4.1,543
Oil and Natural Gas,4.3,998
Bristlecone,4.0,865
Myntra,4.1,1
Freelance,4.3,1
Air Liquide,3.7,2
Xoriant,4.1,1
Robert Bosch India,4.1,3
Mindlance,4.1,638
NoBrokerHood,4.2,852
MediaTek,4.0,1
Appinventiv,3.7,296
Quess,3.5,1
Cerner,3.6,8
CPA Global,3.8,500
ICICI Securities,3.4,953
UnitedLex,3.5,495
Michelin,4.0,2
Wunderman,3.2,994
L&T Technology Services,3.5,4
LexisNexis Legal & Professional,4.4,2
Defence Research & Development Organisation,4.3,904
US Tech Solutions,3.9,528
Capital One,4.2,13
MothersonSumi INfotech and Designs,3.3,407
IDFC First Bank,3.5,994
PayPal,4.3,6
Broadridge,3.8,2
J. C. Penney,3.3,11
Subway,3.4,16
Caterpillar,4.0,6
PageGroup,4.1,2
Rio Tinto,3.8,1
Pfizer,4.2,7
Yash Technologies,3.8,1
PayU,3.8,521
OodlesTechnologies,3.9,361
Bombardier,3.6,3
Saxo Bank,3.7,429
ACS Solutions,4.0,635
Baker Hughes,3.8,3
SITA,3.9,1
Bharat Petroleum,3.8,928
Dassault Systemes,4.0,3
Mindfire Solutions,4.3,558
Opera Solutions,3.1,345
XYZ Tech,3.9,681
Compass Group,3.4,3
Cavisson Systems,3.4,440
Cybage Software,3.9,3
GE Capital,4.1,1
NVIDIA,4.6,4
Honda Siel Cars India,3.9,417
T-Mobile,3.8,16
Pine Labs,4.1,442
YMCA,3.9,17
Xcelserv,5.0,698
ION Group,3.2,601
Happiest Minds Technologies,4.4,1
HT Media,3.6,482
John Deere,4.1,5
Booking.com,3.7,6
PUMA,4.2,1
Royal Bank of Scotland International,3.9,691
Colliers,3.8,1
Tesco,3.8,20
Toppr.com,3.7,1
Eaton,4.1,5
Rose International,4.3,922
GreyOrange,4.0,347
3Pillar Global,4.2,456
Siemens Healthineers,4.2,3
US Navy,3.7,24
Indian Army,4.8,526
Kuehne+Nagel,3.8,2
AgreeYa Solutions,4.0,533
IDEA Cellular,4.3,894
Wunderman Thompson,3.7,1
The Times of India,4.0,708
Oxford University Press,3.5,1
CRMnext,3.8,432
LifeWorks,3.5,1
CWT,4.3,1
Oberoi Hotels & Resorts,4.2,576
AstraZeneca,4.1,5
CarDekho,4.1,462
Amazon Flex,3.6,3
Josh Technology Group,4.3,263
Freshers.com,4.0,329
Marsh McLennan,4.0,2
IIFL,3.9,1
Ameyo,3.8,300
McKinsey Knowledge Center,4.4,313
Globant,4.3,5
MathWorks,4.3,1
OPPO,3.4,739
Integreon,3.6,735
Intelenet,3.9,809
Radisson Hotel Group,3.9,1
DISYS,4.0,1
Gi Group,3.6,855
Henkel,4.5,5
ION Trading,2.6,307
T-Systems,4.0,2
Prometric,3.3,731
hCentive,3.3,342
ManpowerGroup,3.9,2
Insight Global,4.0,10
Convergys India,3.4,496
Acuity Knowledge Partners,3.7,596
Dunkin' Donuts,3.3,7
CMC,4.0,784
Vinove Software & Services,4.2,278
Dyson,3.0,2
Stefanini,3.7,4
Bose,3.8,1
Avery Dennison,4.0,1
Grail Insights,3.6,248
SBI Card,3.6,460
Microland,3.7,1
Pristyn Care,4.3,462
udaan.com,3.9,843
Vinculum Solutions,3.5,390
